,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
99,1.093714286,62158.45068,38834.23567,0.00032358,1,724572,1.914,0.400619715,0.218504167,0.5,1.597253288,0.923639547,2
100,1.093714286,49989.47293,31231.52124,0.00040235,1,582720,1.914,0.486829685,0.12325,0.5,1.365688904,0.945314274,2
101,2.329777778,140766.2599,90930.94215,0.000138193,0.666666667,1193053.5,2.0968,0.354526134,0.233304167,0.5,1.711020204,0.909426107,2
102,1.093714286,55306.00162,34553.08614,0.000363672,1,644694,1.914,0.437910176,0.14065,0.5,1.502046104,0.937617912,2
103,0.005889273,196.4009666,0.252435474,49.77905752,1.118781609,649784.546,2.608202545,0.422093815,0.178133333,0.892187274,1.398138177,0.932529787,2
104,1.093714286,78132.40009,48814.15166,0.000257425,1,910778,1.914,0.304256553,0.231716667,0.5,1.804307469,0.90652478,2
105,1.093714286,44064.28947,27529.69199,0.000456453,1,513651,1.914,0.529807597,0.191679167,0.5,1.321814875,0.93858923,3
106,0.46722963,15035.32473,1840.476095,0.006827581,0.697802154,835081.9731,2.327434189,0.476686649,0.276095833,1.253515735,1.52942921,0.919170783,3
107,1.093714286,37848.71892,23646.43993,0.000531412,1,441197,1.914,0.582381022,0.209995833,0.5,1.209037163,0.945244699,3
108,1.093714286,42971.62762,26847.03843,0.000468059,1,500914,1.914,0.541944471,0.215941667,0.5,1.262064738,0.944193562,3
109,1.093714286,41264.64908,25780.58317,0.000487421,1,481016,1.914,0.560917905,0.1799375,0.5,1.176078926,0.952306334,3
110,1.093714286,41939.35941,26202.11652,0.00047958,1,488881,1.914,0.554947684,0.21165,0.5,1.192088281,0.948945657,3
111,1.093714286,39985.74487,24981.57246,0.000503011,1,466108,1.914,0.565435896,0.203279167,0.5,1.230506293,0.944131177,3
112,1.093714286,38416.8825,24001.40693,0.000523553,1,447820,1.914,0.571957051,0.208425,0.5,1.26600091,0.942780256,3
113,1.007777778,29978.49963,15634.46619,0.000803737,1.25,327529.6,2.015555556,0.601626011,0.1971875,0.4,1.187779145,0.946736375,3
114,1.093714286,39683.69082,24792.86058,0.000506839,1,462587,1.914,0.573553736,0.140133333,0.5,1.12006269,0.956471868,3
115,1.093714286,36326.18123,22695.21629,0.000553685,1,423449,1.914,0.597505161,0.172233333,0.5,1.1315297,0.953165763,3
116,0.357914286,8892.454829,1944.37277,0.006462753,0.61538459,631320.6509,1.77849044,0.621505409,0.157716667,1.438661058,1.118310101,0.954034562,3
117,1.007777778,30266.92039,14629.06277,0.000858975,0.8,478855,2.015555556,0.62387981,0.142729167,0.75,1.09611828,0.957156256,3
118,0.008850293,127.2754521,0.089698862,140.0909634,0.858509493,515095.0611,3.647330941,0.592478374,0.149858333,1.162803148,1.068697709,0.960179013,3
119,0.844923077,23998.71527,9306.447467,0.001350247,0.833333333,428893.2,1.997090909,0.647993967,0.131116667,0.8,1.000142264,0.960757698,3
120,0.8656,27420.1094,16653.23795,0.000754568,0.750000042,529583.9702,1.74877622,0.613228174,0.165341667,0.861928716,1.1490629,0.950642841,3
121,0.419826087,6455.536664,1100.37939,0.011419698,2.365217299,169147.2492,1.856622189,0.61402096,0.170958333,0.344631299,1.12761711,0.951443997,3
122,1.093714286,31070.30355,19411.54384,0.000647347,1,362182,1.914,0.647613669,0.119883333,0.5,1.017825801,0.959556465,3
123,1.093714286,32466.30625,20283.71323,0.000619512,1,378455,1.914,0.640643228,0.1412375,0.5,0.957487201,0.964630668,3
124,1.093714286,24365.1498,15222.41882,0.000825493,1,284021,1.914,0.723556459,0.072958333,0.5,0.693784705,0.979384035,3
125,0.697189189,18894.87726,6952.533267,0.001807399,1.166666667,315576,1.984307692,0.643636673,0.128725,0.571428571,0.998046329,0.960007416,3
126,0.500106464,6400.25892,1136.45948,0.011057147,0.285714295,1368993.454,1.815466394,0.622995129,0.121066667,3.251547885,1.070962418,0.959555592,3
127,0.665707865,14613.37259,4741.703748,0.002650102,1.142857143,289756.25,1.974933333,0.672568924,0.141591667,0.625,0.934294446,0.961605282,3
128,1.093714286,36713.76435,22937.36349,0.00054784,1,427967,1.914,0.597013087,0.195216667,0.5,1.104346784,0.953357755,3
129,0.009556316,126.4153239,0.080257012,156.5719898,1.212323614,360680.923,3.892032325,0.594628171,0.161802083,0.823145507,1.05332273,0.959947721,3
